library,api,approach,type_of_doc,important_part,target_test,unique_coverage,explanation,category,impact
tf,tf.config.list_physical_devices,api_rag_issues,gh_issues,"print(""Num GPUs Available: "", len(tf.config.list_physical_devices('GPU')))
tf.config.list_physical_devices('GPU')","    def test_list_gpu_devices(self):
        """"""Test listing GPU devices.""""""
        gpu_devices = tf.config.list_physical_devices('GPU')
        self.assertIsInstance(gpu_devices, list)
        for device in gpu_devices:
            self.assertEqual(device.device_type, 'GPU')",_pywrap_determinism.enable(True) #UNIQUE#,"GPU–related issue text led the LLM to add GPU-querying tests; invoking the same API again passes through the same internal path that reaches the determinism-enable line, yielding the unique coverage.",standard use case,medium
tf,tf.ragged.constant,api_rag_issues,gh_issues,"ragged_tensor = tf.ragged.constant(
    [['All', 'the', 'world', 'is', 'a', 'stage'],
    ['And', 'all', 'the', 'men', 'and', 'women', 'merely', 'players'],
    ['They', 'have', 'their', 'exits', 'and', 'their', 'entrances']]
)","    def test_ragged_tensor_creation(self):
        # Test creation of a simple ragged tensor
        ragged_tensor = tf.ragged.constant(
            [['All', 'the', 'world', 'is', 'a', 'stage'],
             ['And', 'all', 'the', 'men', 'and', 'women', 'merely', 'players'],
             ['They', 'have', 'their', 'exits', 'and', 'their', 'entrances']]
        )
        self.assertIsInstance(ragged_tensor, tf.RaggedTensor)
        self.assertEqual(ragged_tensor.shape[0], 3)",  return inner_shape[1:] #UNIQUE#,"Example showing creation of a ragged constant with variable-length rows was copied directly into the test, exercising the internal path that reaches the return inner_shape[1:] line.",standard use case,high
tf,tf.ragged.constant,api_rag_issues,gh_issues,"tf.RaggedTensor has a number of class methods, for example, `__abs__`, `__add__`, ... The usage examples for these methods are unmatched.","    def test_ragged_tensor_addition(self):
        # Test addition of two ragged tensors
        rt1 = tf.ragged.constant([[1, 2], [3]])
        rt2 = tf.ragged.constant([[4, 5], [6]])
        result = rt1 + rt2
        expected_result = tf.ragged.constant([[5, 7], [9]])
        self.assertTrue(tf.reduce_all(tf.equal(result, expected_result)))",  return inner_shape[1:] #UNIQUE#,"Discussion about missing `__add__` examples motivated the test that adds two ragged tensors, which also invokes tf.ragged.constant and covers the unique return line.",bug inducing,medium
tf,tf.math.less,api_rag_all,gh_issues,"Same issue can be found in tf.math.less 、 tf.math.less_equal 、tf.math.maximum、tf.math.minimum. As following code shows, when argument x and y have different types, it wont throw an exception.
import tensorflow as tf
results={}
try:
  x = [-1.7,-1.5]
  y = 8
  results[""res""] = tf.math.less(x=x,y=y,)
except Exception as e:
  results[""err""] = ""Error:""+str(e)
print(results)","    def test_less_different_types(self):
        # Test with int and float
        x = tf.constant([1, 2, 3], dtype=tf.int32)
        y = tf.constant([2.0, 2.0, 2.0], dtype=tf.float32)
        result = tf.math.less(x, y)
        expected = [True, False, False]
        self.assertTrue((result.numpy() == expected).all())","  if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
  return tf_fun(a, b) #UNIQUE#","Issue highlighting mixed-dtype behaviour prompted a cross-dtype test, activating the dtype-promotion branch in _bin_op.",bug inducing,high
tf,tf.math.less,api_rag_all,apidoc,A Tensor. Must have the same type as x.,"    def test_less_different_types(self):
        # Test with int and float
        x = tf.constant([1, 2, 3], dtype=tf.int32)
        y = tf.constant([2.0, 2.0, 2.0], dtype=tf.float32)
        result = tf.math.less(x, y)
        expected = [True, False, False]
        self.assertTrue((result.numpy() == expected).all())","  if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
  return tf_fun(a, b) #UNIQUE#","Doc emphasizing same-dtype requirement made the test writer consciously vary dtypes, again exercising the promotion logic.",standard use case,medium
tf,tf.math.less,api_rag_issues,gh_issues,"try:
  x = [-1.7,-1.5]
  y = 8
  results[""res""] = tf.math.less(x=x,y=y,)
except Exception as e:
  results[""err""] = ""Error:""+str(e)","    def test_less_with_broadcasting(self):
        # Test broadcasting with different shapes
        x = tf.constant([[1, 2, 3], [4, 5, 6]], dtype=tf.int32)
        y = tf.constant([3, 3, 3], dtype=tf.int32)
        result = tf.math.less(x, y)
        expected = np.array([[True, True, False], [False, False, False]])
        self.assertTrue(np.array_equal(result.numpy(), expected))","a = np_array_ops.array(a)
reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1])","Issue snippet shows scalar-vs-vector tf.math.less example, inspiring broadcasting test which triggers internal tile path and covers lines converting inputs to numpy arrays.",unique/complex input/parameters handling,high
tf,tf.math.less,api_rag_issues,gh_issues,"tensor = tf.where(tf.math.is_inf(tensor) & tf.math.less(tensor, 0), -100, tensor)","    def test_less_with_broadcasting(self):
        # Test broadcasting with different shapes
        x = tf.constant([[1, 2, 3], [4, 5, 6]], dtype=tf.int32)
        y = tf.constant([3, 3, 3], dtype=tf.int32)
        result = tf.math.less(x, y)
        expected = np.array([[True, True, False], [False, False, False]])
        self.assertTrue(np.array_equal(result.numpy(), expected))","a = np_array_ops.array(a)
reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1])","Shows use of tf.math.less with tensor vs scalar inside larger logic, reinforcing need to test scalar-tensor broadcasting which exercises internal tile conversion.",unique/complex input/parameters handling,medium
tf,tf.math.l2_normalize,api_rag_issues,gh_issues,"init_beta = tf.constant(0.0, shape=[n_out], dtype=tf.float64)
init_gamma = tf.constant(1.0, shape=[n_out],dtype=tf.float64)","    def test_l2_normalize_different_dtype(self):
        # Test with a different data type (int32)
        x = tf.constant([1, 2, 3, 4], dtype=tf.int32)
        result = tf.math.l2_normalize(tf.cast(x, tf.float32))
        expected = tf.cast(x, tf.float32) / tf.norm(tf.cast(x, tf.float32))
        self.assertTrue(np.allclose(result.numpy(), expected.numpy()))","rate = deprecated_argument_lookup(""dilations"", dilations, ""rate"", rate) #UNIQUE#
with ops.name_scope(name, ""separable_conv2d"", #UNIQUE#
                      [input, depthwise_filter, pointwise_filter]) as name:
    input = ops.convert_to_tensor(input, name=""tensor_in"") #UNIQUE#
    depthwise_filter = ops.convert_to_tensor( #UNIQUE#
        depthwise_filter, name=""depthwise_filter"")
    pointwise_filter = ops.convert_to_tensor( #UNIQUE#
        pointwise_filter, name=""pointwise_filter"")","Discussion that explicitly mentions alternate dtypes (float64) prompted the test writer to add a dedicated dtype–conversion test path, exercising TensorFlow’s internal convert_to_tensor and name-scope logic that appears in the uniquely-covered lines.",unique/complex input/parameters handling,medium
tf,tf.math.l2_normalize,api_rag_issues,gh_issues,"*We’ve noticed that one of the biggest challenges in getting started with TensorFlow is how to load your own data into your programs.*  (Doc-2 introductory paragraph about different dimensions, shuffling, batching, etc.)","    def test_l2_normalize_3d(self):
        # Test with a 3D tensor
        x = tf.constant([[[1.0, 2.0], [3.0, 4.0]], [[5.0, 6.0], [7.0, 8.0]]])
        result = tf.math.l2_normalize(x, axis=2)
        expected = x / tf.norm(x, axis=2, keepdims=True)
        self.assertTrue(np.allclose(result.numpy(), expected.numpy()))","pointwise_filter_shape = pointwise_filter.get_shape().with_rank(4) #UNIQUE#
pointwise_filter_shape.dims[0].assert_is_compatible_with(1) #UNIQUE#
pointwise_filter_shape.dims[1].assert_is_compatible_with(1) #UNIQUE#","Mention of handling complex dataset shapes and dimensions motivated inclusion of a 3-D tensor case, triggering shape-rank assertions inside TensorFlow that correspond to the uniquely-covered lines.",API usage sequences,low
tf,tf.sequence_mask,api_rag_all,apidoc,"Raises ValueError

if maxlen is not a scalar.","    def test_invalid_maxlen(self):
        # Test with invalid maxlen (not a scalar)
        lengths = tf.constant([1, 2, 3])
        with self.assertRaises(ValueError):
            tf.sequence_mask(lengths, maxlen=[5])","if size_splits._rank() == 0:
    raise ValueError( #UNIQUE#
        ""Rank-0 tensors are not supported as the num_or_size_splits argument ""
        ""to split. Argument provided: %s"" % (num_or_size_splits,))","Doc explicitly states a ValueError must be raised for non-scalar maxlen, leading the test to exercise the exceptional branch that throws the unique ValueError.",exception handling,high
tf,tf.sequence_mask,api_rag_all,apidoc,"tf.sequence_mask([[1, 3],[2,0]])  # [[[True, False, False],
                                  #   [True, True, True]],","    def test_2d_lengths(self):
        # Test with a 2D lengths tensor
        lengths = tf.constant([[1, 3], [2, 0]])
        expected_output = [[[True, False, False],
                            [True, True, True]],
                           [[True, True, False],
                            [False, False, False]]]
        mask = tf.sequence_mask(lengths)
        self.assertTrue(tf.reduce_all(tf.equal(mask, expected_output)))","repeats_shape = shape(repeats) #UNIQUE#
repeats_ndims = rank(repeats) #UNIQUE#
broadcast_shape = concat( #UNIQUE#
    [data_shape[:axis + 1 - repeats_ndims], repeats_shape], axis=0)
repeats = broadcast_to(repeats, broadcast_shape) #UNIQUE#
repeats.set_shape([None] * (axis + 1)) #UNIQUE#","The 2-D example from the API doc inspired a multidimensional test, triggering the internal broadcast logic that holds the unique lines.",standard use case,medium
tf,tf.sequence_mask,api_rag_all,so_qnas,"`mask = tf.sequence_mask(tf.shape(T)[1]-tf.abs(indices),tf.shape(T)[1])`","    def test_different_dtype(self):
        # Test with a different dtype
        lengths = tf.constant([1, 2, 3])
        expected_output = [[1, 0, 0],
                           [1, 1, 0],
                           [1, 1, 1]]
        mask = tf.sequence_mask(lengths, dtype=tf.int32)
        self.assertTrue(tf.reduce_all(tf.equal(mask, expected_output)))","repeated_dim_size = gen_math_ops._sum( #UNIQUE#
    repeats_original,
    axis=gen_math_ops._range(0, rank(repeats_original), 1))
result_shape = concat( #UNIQUE#
    [data_shape[:axis], [repeated_dim_size], data_shape[axis + 1:]],
    axis=0)
result = reshape(masked, result_shape) #UNIQUE#","The StackOverflow snippet showed sequence_mask feeding further ops, encouraging a dtype-conversion test that walks through the internal repeat/reshape path with the unique lines.",unique/complex input/parameters handling,low
tf,tf.sequence_mask,api_rag_apidoc,apidoc,"tf.sequence_mask([[1, 3],[2,0]])  # [[[True, False, False],
                                  #   [True, True, True]],
                                  #  [[True, True, False],
                                  #   [False, False, False]]]","def test_2d_lengths(self):
        lengths = [[1, 3], [2, 0]]
        expected_output = [[[True, False, False],
                            [True, True, True]],
                           [[True, True, False],
                            [False, False, False]]]
        result = tf.sequence_mask(lengths)
        self.assertTrue(tf.reduce_all(tf.equal(result, expected_output)))","converted_elem = _autopacking_helper(elem, dtype, str(i))
        if isinstance(converted_elem, core.Tensor):
          must_pack = True
        converted_elems.append(converted_elem)
      maybe_dtype = _get_dtype_from_nested_lists(elem)
      if maybe_dtype is not None:
        return maybe_dtype",Example of nested list lengths prompted inclusion of 2D case which triggers recursive autopacking code paths,standard use case,high
tf,tf.sequence_mask,api_rag_sos,so_qnas,"y = tf.sequence_mask(tf.random_uniform(minval=1, maxval=max_cluster_size-1, dtype=tf.int32, shape=[batchSize, maxSteps]), maxlen=max_cluster_size)","    def test_3d_tensor(self):
        lengths = tf.constant([[1, 2], [3, 0]], dtype=tf.int32)
        maxlen = 4
        expected_output = np.array([
            [[True, False, False, False],
             [True, True, False, False]],
            [[True, True, True, False],
             [False, False, False, False]]
        ])
        mask = tf.sequence_mask(lengths, maxlen)
        self.assertTrue(np.array_equal(mask.numpy(), expected_output))","elif s is newaxis:
      begin.append(0) #UNIQUE#
      end.append(0) #UNIQUE#
      strides.append(1) #UNIQUE#
      new_axis_mask |= (1 << index) #UNIQUE#","The SO example creates a 2-D length tensor, inspiring the test of a 2-D lengths input (producing a 3-D mask) which internally triggers TensorFlow slicing with the implicit `tf.newaxis`, exercising the new-axis block in `_slice_helper`.",unique/complex input/parameters handling,high
tf,tf.sequence_mask,api_rag_sos,so_qnas,"mask = tf.sequence_mask(tf.shape(T)[1]-tf.abs(indices),tf.shape(T)[1])","    def test_default_maxlen(self):
        lengths = tf.constant([1, 3, 2], dtype=tf.int32)
        expected_output = np.array([
            [True, False, False],
            [True, True, True],
            [True, True, False]
        ])
        mask = tf.sequence_mask(lengths)
        self.assertTrue(np.array_equal(mask.numpy(), expected_output))","elif side == ""left"": #UNIQUE#
    output = gen_array_ops.lower_bound(sorted_sequence_2d, values_2d, out_type, #UNIQUE#","The example that omits `maxlen` suggested a test without the argument; this path causes TensorFlow to select the default branch in internal helpers, reaching the ‘left’ case within `searchsorted`.",standard use case,medium
tf,tf.sequence_mask,api_rag_sos,so_qnas,"mask = tf.cast(y, tf.int32)","    def test_different_dtype(self):
        lengths = tf.constant([1, 3, 2], dtype=tf.int32)
        maxlen = 5
        expected_output = np.array([
            [1, 0, 0, 0, 0],
            [1, 1, 1, 0, 0],
            [1, 1, 0, 0, 0]
        ], dtype=np.int32)
        mask = tf.sequence_mask(lengths, maxlen, dtype=tf.int32)
        self.assertTrue(np.array_equal(mask.numpy(), expected_output))","sequence_size = shape_internal(sorted_sequence)[-1] #UNIQUE#
values_size = shape_internal(values)[-1] #UNIQUE#
sorted_sequence_2d = reshape(sorted_sequence, [-1, sequence_size]) #UNIQUE#
values_2d = reshape(values, [-1, values_size]) #UNIQUE#","Casting the mask to an integer type in the SO snippet motivated the dtype-variation test, leading TF internals to allocate int tensors and execute the size/reshape logic in `searchsorted` that is specialised per dtype.",API usage sequences,low
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_all,apidoc,"Other values will raise an exception when this op is run on CPU, and return NaN for corresponding loss and gradient rows on GPU.","    def test_sparse_softmax_cross_entropy_with_logits_invalid_labels(self):
        # Test with invalid labels
        logits = tf.constant([[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], dtype=tf.float32)
        labels = tf.constant([3, 1], dtype=tf.int32)  # Invalid label 3
        with self.assertRaises(tf.errors.InvalidArgumentError):
            loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)
            with tf.Session() as sess:
                sess.run(loss)",rate.get_shape().assert_has_rank(0) #UNIQUE#,"API doc warns that out-of-range labels throw an error; the test purposely supplies an invalid label, driving the execution down TensorFlow’s error-handling branch and hitting a uniquely covered line.",exception handling,high
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_all,apidoc,"higher dimensions are supported, in which case the dim-th dimension is assumed to be of size num_classes.","    def test_sparse_softmax_cross_entropy_with_logits_higher_dimensions(self):
        # Test with higher dimensions
        logits = tf.constant([[[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], [[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]]], dtype=tf.float32)
        labels = tf.constant([[2, 1], [2, 1]], dtype=tf.int32)
        expected_loss = np.array([[0.40760595, 1.4076059], [0.40760595, 1.4076059]], dtype=np.float32)
        loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)
        with tf.Session() as sess:
            loss_val = sess.run(loss)
            np.testing.assert_allclose(loss_val, expected_loss, rtol=1e-5)","with ops.name_scope(name, ""MaxPool1d"", [input]) as name: #UNIQUE#","Mention of high-rank tensor support pushed the generator to add a 3-D-tensor test; TensorFlow reshapes/handles the extra dimension under a namescope, invoking a code branch uniquely exercised by the test.",API usage sequences,medium
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_all,so_qnas,for `sparse_softmax_cross_entropy_with_logits` I use [batch_size] with dtype int32 for labels.,"    def test_sparse_softmax_cross_entropy_with_logits_different_dtypes(self):
        # Test with different data types
        logits = tf.constant([[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], dtype=tf.float64)
        labels = tf.constant([2, 1], dtype=tf.int64)
        expected_loss = np.array([0.40760595, 1.4076059], dtype=np.float64)
        loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)
        with tf.Session() as sess:
            loss_val = sess.run(loss)
            np.testing.assert_allclose(loss_val, expected_loss, rtol=1e-5)","one_tensor = constant_op.constant(1, dtype=x_dtype) #UNIQUE#","SO thread stressed correct dtype usage; test deliberately mixes float64 logits with int64 labels, traversing TensorFlow’s dtype-conversion logic and uniquely covering the constant-creation line.",unique/complex input/parameters handling,medium
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_apidoc,apidoc,"logits must have the dtype of float16, float32, or float64, and labels must have the dtype of int32 or int64.","    def test_invalid_logits_dtype(self):
        # Test with invalid logits dtype
        logits = tf.constant([[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], dtype=tf.int32)
        labels = tf.constant([2, 1], dtype=tf.int32)
        with self.assertRaises(TypeError):
            tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)","if not x_dtype.is_floating:
      raise ValueError( #UNIQUE#
          ""`x.dtype` must be a floating point tensor as `x` will be ""
          f""scaled. Received: x_dtype={x_dtype}"")","Doc sentence about allowed dtypes prompted a negative-test that hit the internal dtype–validation branch that raises an error for non-floating tensors, uniquely executing this guard-clause line.",exception handling,high
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_apidoc,apidoc,"labels must be an index in [0, num_classes). Other values will raise an exception when this op is run on CPU, and return NaN for corresponding loss and gradient rows on GPU.","    def test_invalid_labels_values(self):
        # Test with invalid labels values
        logits = tf.constant([[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], dtype=tf.float32)
        labels = tf.constant([3, 1], dtype=tf.int32)  # 3 is out of range for num_classes=3
        with self.assertRaises(tf.errors.InvalidArgumentError):
            tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)","raise errors_impl.InvalidArgumentError( #UNIQUE#
        None, None,
        ""`dim` must be in the range [...]  Received: dim={dim_val}"")","The out-of-range description led to a test that deliberately feeds an illegal class index, driving execution into the TensorFlow C++ op-wrapper that produces a unique InvalidArgumentError line.",exception handling,high
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_apidoc,apidoc,"If the rank of the labels is not equal to the rank of the logits minus one, a ValueError is raised.","    def test_rank_mismatch(self):
        # Test with rank mismatch between labels and logits
        logits = tf.constant([[1.0, 2.0, 3.0]], dtype=tf.float32)
        labels = tf.constant([[2, 1]], dtype=tf.int32)  # labels should be rank 1
        with self.assertRaises(ValueError):
            tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)","if not output_shape_.get_shape().is_compatible_with( #UNIQUE#
        tensor_shape.TensorShape([4])):","The documentation of a rank-check encouraged a test where label-tensor rank is wrong, uncovering an internal shape-compatibility validation line that is otherwise untouched.",exception handling,medium
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_apidoc,apidoc,"higher dimensions are supported, in which case the dim-th dimension is assumed to be of size num_classes.","    def test_higher_dimensions(self):
        # Test with higher dimensions
        logits = tf.constant([[[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], [[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]]], dtype=tf.float32)
        labels = tf.constant([[2, 1], [0, 2]], dtype=tf.int32)
        loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)
        self.assertTrue(tf.reduce_all(tf.math.is_finite(loss)))
        self.assertTrue(tf.reduce_all(tf.math.equal(tf.shape(loss), tf.shape(labels))))","input_sizes = [ #UNIQUE#
        rate * rate * output_shape[0], (in_height + pad_bottom_extra) // rate,
        (in_width + pad_right_extra) // rate, output_shape[3]
    ]","Doc note about higher-rank tensors led to 3-D/4-D test inputs which ended up flowing through TensorFlow’s shape-inference logic, executing lines that build the dynamic input_sizes list uniquely.",unique/complex input/parameters handling,medium
tf,tf.nn.sparse_softmax_cross_entropy_with_logits,api_rag_apidoc,apidoc,"A common use case is to have logits of shape [batch_size, num_classes] and have labels of shape [batch_size]","    def test_valid_inputs(self):
        # Test with valid inputs
        logits = tf.constant([[1.0, 2.0, 3.0], [1.0, 2.0, 3.0]], dtype=tf.float32)
        labels = tf.constant([2, 1], dtype=tf.int32)
        loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels=labels, logits=logits)
        expected_loss = [0.40760595, 1.4076059]
        self.assertTrue(tf.reduce_all(tf.math.is_finite(loss)))
        self.assertTrue(tf.reduce_all(tf.math.equal(tf.shape(loss), tf.shape(labels))))
        self.assertTrue(tf.reduce_all(tf.math.less_equal(tf.abs(loss - expected_loss), 1e-6)))","with ops.name_scope(name, ""atrous_conv2d_transpose"", #UNIQUE#
                      [value, filters, output_shape]) as name:","By mirroring the ‘standard’ shape example, the valid-case test calls the op in the most typical way, hitting TensorFlow’s eager-execution path whose first statement opens a name-scope, thereby uniquely covering that line.",standard use case,low
